date,kaf
1921-10-31,131.694
1921-11-30,90.577
1921-12-31,196.885
1922-01-31,199.536
1922-02-28,108.036
1922-03-31,209.084
1922-04-30,163.366
1922-05-31,272.133
1922-06-30,347.186
1922-07-31,392.627
1922-08-31,344.511
1922-09-30,177.118
1922-10-31,252.426
1922-11-30,175.784
1922-12-31,172.16
1923-01-31,195.247
1923-02-28,160.852
1923-03-31,257.376
1923-04-30,186.268
1923-05-31,272.133
1923-06-30,347.186
1923-07-31,424.286
1923-08-31,440.711
1923-09-30,206.616
1923-10-31,252.104
1923-11-30,174.019
1923-12-31,165.158
1924-01-31,195.247
1924-02-29,160.852
1924-03-31,209.084
1924-04-30,163.366
1924-05-31,271.622
1924-06-30,346.957
1924-07-31,488.827
1924-08-31,440.711
1924-09-30,205.971
1924-10-31,252.426
1924-11-30,175.784
1924-12-31,172.818
1925-01-31,195.247
1925-02-28,160.852
1925-03-31,274.389
1925-04-30,186.268
1925-05-31,272.133
1925-06-30,347.186
1925-07-31,488.827
1925-08-31,440.711
1925-09-30,206.616
1925-10-31,252.426
1925-11-30,174.817
1925-12-31,172.393
1926-01-31,195.247
1926-02-28,160.852
1926-03-31,247.465
1926-04-30,182.473
1926-05-31,272.133
1926-06-30,347.186
1926-07-31,488.827
1926-08-31,440.711
1926-09-30,206.616
1926-10-31,252.426
1926-11-30,175.784
1926-12-31,175.62
1927-01-31,195.247
1927-02-28,160.852
1927-03-31,291.793
1927-04-30,186.268
1927-05-31,272.133
1927-06-30,347.186
1927-07-31,441.042
1927-08-31,440.711
1927-09-30,206.616
1927-10-31,252.426
1927-11-30,175.784
1927-12-31,175.009
1928-01-31,195.247
1928-02-29,160.852
1928-03-31,305.284
1928-04-30,186.268
1928-05-31,272.133
1928-06-30,347.186
1928-07-31,488.827
1928-08-31,440.711
1928-09-30,206.616
1928-10-31,252.277
1928-11-30,175.784
1928-12-31,172.596
1929-01-31,195.247
1929-02-28,160.852
1929-03-31,209.084
1929-04-30,163.366
1929-05-31,272.133
1929-06-30,347.186
1929-07-31,488.827
1929-08-31,440.711
1929-09-30,206.616
1929-10-31,252.426
1929-11-30,174.684
1929-12-31,171.695
1930-01-31,195.247
1930-02-28,160.852
1930-03-31,256.983
1930-04-30,163.366
1930-05-31,272.133
1930-06-30,347.186
1930-07-31,402.566
1930-08-31,440.711
1930-09-30,206.616
1930-10-31,252.104
1930-11-30,175.092
1930-12-31,172.021
1931-01-31,195.247
1931-02-28,134.751
1931-03-31,209.084
1931-04-30,163.366
1931-05-31,271.622
1931-06-30,346.957
1931-07-31,444.716
1931-08-31,440.711
1931-09-30,189.613
1931-10-31,230.417
1931-11-30,172.793
1931-12-31,169.417
