date,kaf
1921-10-31,0.56917
1921-11-30,0.410054
1921-12-31,0.410097
1922-01-31,0.511029
1922-02-28,0.737593
1922-03-31,0.760914
1922-04-30,1.021267
1922-05-31,1.499157
1922-06-30,2.225406
1922-07-31,2.54829
1922-08-31,2.119191
1922-09-30,0.887755
1922-10-31,0.56917
1922-11-30,0.410054
1922-12-31,0.410097
1923-01-31,0.511029
1923-02-28,0.737593
1923-03-31,0.760914
1923-04-30,1.021267
1923-05-31,1.499157
1923-06-30,2.225406
1923-07-31,2.54829
1923-08-31,2.119191
1923-09-30,0.887755
1923-10-31,0.56917
1923-11-30,0.410054
1923-12-31,0.410097
1924-01-31,0.511029
1924-02-29,0.712159
1924-03-31,0.760914
1924-04-30,1.021267
1924-05-31,1.499157
1924-06-30,2.225406
1924-07-31,2.54829
1924-08-31,2.119191
1924-09-30,0.887755
1924-10-31,0.56917
1924-11-30,0.410054
1924-12-31,0.410097
1925-01-31,0.511029
1925-02-28,0.737593
1925-03-31,0.760914
1925-04-30,1.021267
1925-05-31,1.499157
1925-06-30,2.225406
1925-07-31,2.54829
1925-08-31,2.119191
1925-09-30,0.887755
1925-10-31,0.56917
1925-11-30,0.410054
1925-12-31,0.410097
1926-01-31,0.511029
1926-02-28,0.737593
1926-03-31,0.760914
1926-04-30,1.021267
1926-05-31,1.499157
1926-06-30,2.225406
1926-07-31,2.54829
1926-08-31,2.119191
1926-09-30,0.887755
1926-10-31,0.56917
1926-11-30,0.410054
1926-12-31,0.410097
1927-01-31,0.511029
1927-02-28,0.737593
1927-03-31,0.760914
1927-04-30,1.021267
1927-05-31,1.499157
1927-06-30,2.225406
1927-07-31,2.54829
1927-08-31,2.119191
1927-09-30,0.887755
1927-10-31,0.56917
1927-11-30,0.410054
1927-12-31,0.410097
1928-01-31,0.511029
1928-02-29,0.712159
1928-03-31,0.760914
1928-04-30,1.021267
1928-05-31,1.499157
1928-06-30,2.225406
1928-07-31,2.54829
1928-08-31,2.119191
1928-09-30,0.887755
1928-10-31,0.56917
1928-11-30,0.410054
1928-12-31,0.410097
1929-01-31,0.511029
1929-02-28,0.737593
1929-03-31,0.760914
1929-04-30,1.021267
1929-05-31,1.499157
1929-06-30,2.225406
1929-07-31,2.54829
1929-08-31,2.119191
1929-09-30,0.887755
1929-10-31,0.56917
1929-11-30,0.410054
1929-12-31,0.410097
1930-01-31,0.511029
1930-02-28,0.737593
1930-03-31,0.760914
1930-04-30,1.021267
1930-05-31,1.499157
1930-06-30,2.225406
1930-07-31,2.54829
1930-08-31,2.119191
1930-09-30,0.887755
1930-10-31,0.56917
1930-11-30,0.410054
1930-12-31,0.410097
1931-01-31,0.511029
1931-02-28,0.737593
1931-03-31,0.760914
1931-04-30,1.021267
1931-05-31,1.499157
1931-06-30,2.225406
1931-07-31,2.54829
1931-08-31,2.119191
1931-09-30,0.887755
1931-10-31,0.56917
1931-11-30,0.410054
1931-12-31,0.410097
1932-01-31,0.511029
1932-02-29,0.712159
1932-03-31,0.760914
1932-04-30,1.021267
1932-05-31,1.499157
1932-06-30,2.225406
1932-07-31,2.54829
1932-08-31,2.119191
1932-09-30,0.887755
1932-10-31,0.56917
1932-11-30,0.410054
1932-12-31,0.410097
1933-01-31,0.511029
1933-02-28,0.737593
1933-03-31,0.760914
1933-04-30,1.021267
1933-05-31,1.499157
1933-06-30,2.225406
1933-07-31,2.54829
1933-08-31,2.119191
1933-09-30,0.887755
1933-10-31,0.56917
1933-11-30,0.410054
1933-12-31,0.410097
1934-01-31,0.511029
1934-02-28,0.737593
1934-03-31,0.760914
1934-04-30,1.021267
1934-05-31,1.499157
1934-06-30,2.225406
1934-07-31,2.54829
1934-08-31,2.119191
1934-09-30,0.887755
1934-10-31,0.56917
1934-11-30,0.410054
1934-12-31,0.410097
1935-01-31,0.511029
1935-02-28,0.737593
1935-03-31,0.760914
1935-04-30,1.021267
1935-05-31,1.499157
1935-06-30,2.225406
1935-07-31,2.54829
1935-08-31,2.119191
1935-09-30,0.887755
1935-10-31,0.56917
1935-11-30,0.410054
1935-12-31,0.410097
1936-01-31,0.511029
1936-02-29,0.712159
1936-03-31,0.760914
1936-04-30,1.021267
1936-05-31,1.499157
1936-06-30,2.225406
1936-07-31,2.54829
1936-08-31,2.119191
1936-09-30,0.887755
1936-10-31,0.56917
1936-11-30,0.410054
1936-12-31,0.410097
1937-01-31,0.511029
1937-02-28,0.737593
1937-03-31,0.760914
1937-04-30,1.021267
1937-05-31,1.499157
1937-06-30,2.225406
1937-07-31,2.54829
1937-08-31,2.119191
1937-09-30,0.887755
1937-10-31,0.56917
1937-11-30,0.410054
1937-12-31,0.410097
1938-01-31,0.511029
1938-02-28,0.737593
1938-03-31,0.760914
1938-04-30,1.021267
1938-05-31,1.499157
1938-06-30,2.225406
1938-07-31,2.54829
1938-08-31,2.119191
1938-09-30,0.887755
1938-10-31,0.56917
1938-11-30,0.410054
1938-12-31,0.410097
1939-01-31,0.511029
1939-02-28,0.737593
1939-03-31,0.760914
1939-04-30,1.021267
1939-05-31,1.499157
1939-06-30,2.225406
1939-07-31,2.54829
1939-08-31,2.119191
1939-09-30,0.887755
1939-10-31,0.56917
1939-11-30,0.410054
1939-12-31,0.410097
1940-01-31,0.511029
1940-02-29,0.712159
1940-03-31,0.760914
1940-04-30,1.021267
1940-05-31,1.499157
1940-06-30,2.225406
1940-07-31,2.54829
1940-08-31,2.119191
1940-09-30,0.887755
1940-10-31,0.56917
1940-11-30,0.410054
1940-12-31,0.410097
1941-01-31,0.511029
1941-02-28,0.737593
1941-03-31,0.760914
1941-04-30,1.021267
1941-05-31,1.499157
1941-06-30,2.225406
1941-07-31,2.54829
1941-08-31,2.119191
1941-09-30,0.887755
1941-10-31,0.56917
1941-11-30,0.410054
1941-12-31,0.410097
1942-01-31,0.511029
1942-02-28,0.737593
1942-03-31,0.760914
1942-04-30,1.021267
1942-05-31,1.499157
1942-06-30,2.225406
1942-07-31,2.54829
1942-08-31,2.119191
1942-09-30,0.887755
1942-10-31,0.56917
1942-11-30,0.410054
1942-12-31,0.410097
1943-01-31,0.511029
1943-02-28,0.737593
1943-03-31,0.760914
1943-04-30,1.021267
1943-05-31,1.499157
1943-06-30,2.225406
1943-07-31,2.54829
1943-08-31,2.119191
1943-09-30,0.887755
1943-10-31,0.56917
1943-11-30,0.410054
1943-12-31,0.410097
1944-01-31,0.511029
1944-02-29,0.712159
1944-03-31,0.760914
1944-04-30,1.021267
1944-05-31,1.499157
1944-06-30,2.225406
1944-07-31,2.54829
1944-08-31,2.119191
1944-09-30,0.887755
1944-10-31,0.56917
1944-11-30,0.410054
1944-12-31,0.410097
1945-01-31,0.511029
1945-02-28,0.737593
1945-03-31,0.760914
1945-04-30,1.021267
1945-05-31,1.499157
1945-06-30,2.225406
1945-07-31,2.54829
1945-08-31,2.119191
1945-09-30,0.887755
1945-10-31,0.56917
1945-11-30,0.410054
1945-12-31,0.410097
1946-01-31,0.511029
1946-02-28,0.737593
1946-03-31,0.760914
1946-04-30,1.021267
1946-05-31,1.499157
1946-06-30,2.225406
1946-07-31,2.54829
1946-08-31,2.119191
1946-09-30,0.887755
1946-10-31,0.56917
1946-11-30,0.410054
1946-12-31,0.410097
1947-01-31,0.511029
1947-02-28,0.737593
1947-03-31,0.760914
1947-04-30,1.021267
1947-05-31,1.499157
1947-06-30,2.225406
1947-07-31,2.54829
