date,kaf
1921-10-31,136.260651
1921-11-30,91.322464
1921-12-31,197.639908
1922-01-31,200.701263
1922-02-28,109.401276
1922-03-31,229.613876
1922-04-30,237.684753
1922-05-31,273.233521
1922-06-30,348.797333
1922-07-31,394.473541
1922-08-31,346.045654
1922-09-30,177.811615
1922-10-31,252.874878
1922-11-30,176.529877
1922-12-31,172.914627
1923-01-31,196.412674
1923-02-28,162.217819
1923-03-31,294.01236
1923-04-30,260.586945
1923-05-31,273.233521
1923-06-30,348.797333
1923-07-31,426.131989
1923-08-31,442.245636
1923-09-30,207.309799
1923-10-31,252.552292
1923-11-30,174.76445
1923-12-31,165.91275
1924-01-31,196.412674
1924-02-29,162.217819
1924-03-31,209.642578
1924-04-30,164.114761
1924-05-31,272.722778
1924-06-30,348.568848
1924-07-31,490.673553
1924-08-31,442.245636
1924-09-30,206.664642
1924-10-31,252.874878
1924-11-30,176.529877
1924-12-31,173.572632
1925-01-31,196.412674
1925-02-28,162.217819
1925-03-31,281.936493
1925-04-30,260.586945
1925-05-31,273.233521
1925-06-30,348.797333
1925-07-31,490.673553
1925-08-31,442.245636
1925-09-30,207.309799
1925-10-31,252.874878
1925-11-30,175.562317
1925-12-31,173.147629
1926-01-31,196.412674
1926-02-28,162.217819
1926-03-31,277.067719
1926-04-30,256.79248
1926-05-31,273.233521
1926-06-30,348.797333
1926-07-31,490.673553
1926-08-31,442.245636
1926-09-30,207.309799
1926-10-31,256.993164
1926-11-30,176.529877
1926-12-31,176.374771
1927-01-31,196.412674
1927-02-28,162.217819
1927-03-31,299.340118
1927-04-30,260.586945
1927-05-31,273.233521
1927-06-30,348.797333
1927-07-31,442.888
1927-08-31,442.245636
1927-09-30,207.309799
1927-10-31,256.993164
1927-11-30,176.529877
1927-12-31,175.763626
1928-01-31,196.412674
1928-02-29,162.217819
1928-03-31,312.831818
1928-04-30,260.586945
1928-05-31,273.233521
1928-06-30,348.797333
1928-07-31,490.673553
1928-08-31,442.245636
1928-09-30,207.309799
1928-10-31,252.725769
1928-11-30,176.110519
1928-12-31,173.350632
1929-01-31,196.412674
1929-02-28,162.217819
1929-03-31,209.642578
1929-04-30,164.114761
1929-05-31,273.233521
1929-06-30,348.797333
1929-07-31,490.673553
1929-08-31,442.245636
1929-09-30,207.309799
1929-10-31,252.874878
1929-11-30,175.429321
1929-12-31,172.449631
1930-01-31,196.412674
1930-02-28,162.217819
1930-03-31,274.805359
1930-04-30,164.114761
1930-05-31,273.233521
1930-06-30,348.797333
1930-07-31,404.412018
1930-08-31,442.245636
1930-09-30,207.309799
1930-10-31,252.552292
1930-11-30,175.418091
1930-12-31,172.3349
1931-01-31,195.627731
1931-02-28,135.288086
1931-03-31,209.642578
1931-04-30,164.114761
1931-05-31,272.722778
1931-06-30,348.568848
1931-07-31,446.561951
1931-08-31,442.245636
1931-09-30,190.306519
1931-10-31,230.865707
1931-11-30,173.119095
1931-12-31,170.171753
1932-01-31,196.412674
1932-02-29,135.367279
1932-03-31,209.642578
1932-04-30,164.114761
1932-05-31,272.722778
1932-06-30,348.568848
1932-07-31,490.673553
1932-08-31,442.245636
1932-09-30,206.289139
1932-10-31,252.552292
1932-11-30,173.593094
1932-12-31,165.017761
1933-01-31,140.995117
1933-02-28,162.217819
1933-03-31,209.642578
1933-04-30,164.114761
1933-05-31,272.722778
1933-06-30,348.568848
1933-07-31,461.709656
1933-08-31,442.245636
1933-09-30,206.664642
1933-10-31,252.552292
1933-11-30,173.372101
1933-12-31,172.196762
1934-01-31,196.412674
1934-02-28,162.217819
1934-03-31,209.642578
1934-04-30,164.114761
1934-05-31,272.722778
1934-06-30,348.568848
1934-07-31,490.673553
1934-08-31,442.245636
1934-09-30,206.664642
1934-10-31,252.874878
1934-11-30,176.281326
1934-12-31,191.047485
1935-01-31,249.412674
1935-02-28,191.305283
1935-03-31,312.831818
1935-04-30,262.408295
1935-05-31,273.233521
1935-06-30,348.797333
1935-07-31,394.473541
1935-08-31,442.245636
1935-09-30,207.309799
1935-10-31,256.993164
1935-11-30,176.529877
1935-12-31,174.715622
1936-01-31,196.412674
1936-02-29,150.812683
1936-03-31,312.099945
1936-04-30,260.545166
1936-05-31,273.233521
1936-06-30,348.797333
1936-07-31,490.673553
1936-08-31,442.245636
1936-09-30,207.309799
1936-10-31,252.874878
1936-11-30,176.529877
1936-12-31,154.212631
1937-01-31,196.412674
1937-02-28,162.217819
1937-03-31,312.099945
1937-04-30,260.545166
1937-05-31,243.233521
1937-06-30,250.920471
1937-07-31,326.044098
1937-08-31,388.097382
1937-09-30,209.718399
1937-10-31,256.993164
1937-11-30,180.554092
1937-12-31,176.374771
1938-01-31,196.412674
1938-02-28,138.125275
1938-03-31,268.550964
1938-04-30,260.545166
1938-05-31,173.168991
1938-06-30,236.008102
1938-07-31,282.362885
1938-08-31,346.378387
1938-09-30,150.630569
1938-10-31,247.136078
1938-11-30,176.110519
1938-12-31,167.047623
1939-01-31,196.412674
1939-02-28,161.108276
1939-03-31,236.956619
1939-04-30,164.114761
1939-05-31,273.233521
1939-06-30,348.797333
1939-07-31,490.673553
1939-08-31,442.245636
1939-09-30,207.309799
1939-10-31,256.993164
1939-11-30,171.297318
1939-12-31,165.281631
1940-01-31,196.412674
1940-02-29,133.795273
1940-03-31,312.099945
1940-04-30,260.545166
1940-05-31,273.233521
1940-06-30,348.797333
1940-07-31,490.673553
1940-08-31,442.245636
1940-09-30,209.718399
1940-10-31,255.993149
1940-11-30,169.513321
1940-12-31,195.979782
1941-01-31,195.412674
1941-02-28,109.075035
1941-03-31,312.099945
1941-04-30,260.545166
1941-05-31,154.944275
1941-06-30,181.794525
1941-07-31,281.362885
1941-08-31,275.963104
1941-09-30,208.718399
1941-10-31,256.993164
1941-11-30,176.529877
1941-12-31,161.301636
1942-01-31,196.412674
1942-02-28,162.217819
1942-03-31,307.77951
1942-04-30,260.545166
1942-05-31,269.733521
1942-06-30,292.461487
1942-07-31,426.188019
1942-08-31,438.745636
1942-09-30,209.718399
1942-10-31,256.993164
1942-11-30,170.286316
1942-12-31,171.708633
1943-01-31,166.272934
1943-02-28,128.250275
1943-03-31,307.77951
1943-04-30,264.865601
1943-05-31,211.482574
1943-06-30,300.771667
1943-07-31,413.439148
1943-08-31,442.245636
1943-09-30,206.802689
1943-10-31,252.874878
1943-11-30,172.410965
1943-12-31,170.131622
1944-01-31,196.412674
1944-02-29,150.89328
1944-03-31,288.637939
1944-04-30,164.114761
1944-05-31,273.233521
1944-06-30,348.797333
1944-07-31,403.033325
1944-08-31,442.245636
1944-09-30,207.309799
1944-10-31,256.993164
1944-11-30,196.140305
1944-12-31,218.244614
1945-01-31,224.562302
1945-02-28,100.693436
1945-03-31,307.77951
1945-04-30,167.998627
1945-05-31,273.233521
1945-06-30,301.921783
1945-07-31,467.659149
1945-08-31,442.245636
1945-09-30,209.718399
1945-10-31,256.993164
1945-11-30,175.851318
1945-12-31,169.907623
1946-01-31,196.412674
1946-02-28,159.835281
1946-03-31,307.77951
1946-04-30,251.468933
1946-05-31,273.233521
1946-06-30,348.797333
1946-07-31,490.673553
1946-08-31,442.245636
1946-09-30,207.309799
1946-10-31,252.874878
1946-11-30,176.529877
1946-12-31,169.720627
1947-01-31,196.412674
1947-02-28,162.217819
1947-03-31,274.364166
1947-04-30,164.114761
1947-05-31,273.233521
1947-06-30,348.797333
1947-07-31,490.673553
1947-08-31,442.245636
1947-09-30,207.309799
1947-10-31,252.874878
1947-11-30,167.62532
1947-12-31,167.077621
1948-01-31,196.412674
1948-02-29,162.217819
1948-03-31,272.762024
1948-04-30,260.545166
1948-05-31,273.233521
1948-06-30,348.797333
1948-07-31,490.673553
1948-08-31,442.245636
1948-09-30,207.309799
1948-10-31,252.874878
1948-11-30,165.110321
1948-12-31,164.917633
1949-01-31,196.412674
1949-02-28,161.340271
1949-03-31,279.58783
1949-04-30,187.551453
1949-05-31,273.233521
1949-06-30,348.797333
1949-07-31,490.673553
1949-08-31,442.245636
1949-09-30,209.718399
1949-10-31,252.874878
1949-11-30,166.34433
1949-12-31,168.418625
1950-01-31,196.412674
1950-02-28,162.217819
1950-03-31,293.492676
1950-04-30,262.408295
1950-05-31,273.233521
1950-06-30,348.797333
1950-07-31,462.629181
1950-08-31,442.245636
1950-09-30,209.718399
1950-10-31,256.993164
1950-11-30,223.529877
1950-12-31,223.374771
1951-01-31,231.63208
1951-02-28,207.343414
1951-03-31,312.099945
1951-04-30,260.545166
1951-05-31,273.233521
1951-06-30,348.797333
1951-07-31,490.673553
1951-08-31,442.245636
1951-09-30,209.718399
1951-10-31,255.993149
1951-11-30,148.347473
1951-12-31,217.086777
1952-01-31,174.296082
1952-02-29,185.273727
1952-03-31,311.831818
1952-04-30,249.270401
1952-05-31,135.248596
1952-06-30,181.794525
1952-07-31,281.362885
1952-08-31,275.963104
1952-09-30,208.718399
1952-10-31,256.993164
1952-11-30,159.369461
1952-12-31,139.22377
1953-01-31,196.412674
1953-02-28,141.733414
1953-03-31,284.731842
1953-04-30,260.586945
1953-05-31,273.233521
1953-06-30,348.797333
1953-07-31,443.866272
1953-08-31,442.245636
1953-09-30,209.718399
1953-10-31,256.993164
1953-11-30,152.503464
1953-12-31,149.934769
1954-01-31,183.848083
1954-02-28,152.284409
1954-03-31,301.288757
1954-04-30,260.545166
1954-05-31,273.233521
1954-06-30,348.797333
1954-07-31,490.673553
1954-08-31,442.245636
1954-09-30,207.309799
1954-10-31,252.874878
1954-11-30,156.684464
1954-12-31,150.683777
1955-01-31,180.123077
1955-02-28,145.422409
1955-03-31,209.642578
1955-04-30,164.114761
1955-05-31,273.233521
1955-06-30,348.797333
1955-07-31,490.673553
1955-08-31,442.245636
1955-09-30,209.718399
1955-10-31,256.993164
1955-11-30,178.7323
1955-12-31,159.590775
1956-01-31,196.412674
1956-02-29,156.350418
1956-03-31,307.77951
1956-04-30,260.545166
1956-05-31,269.733521
1956-06-30,312.572784
1956-07-31,487.173553
1956-08-31,438.745636
1956-09-30,207.309799
1956-10-31,256.993164
1956-11-30,152.794464
1956-12-31,146.481766
1957-01-31,187.782074
1957-02-28,147.15741
1957-03-31,277.276276
1957-04-30,260.545166
1957-05-31,273.233521
1957-06-30,348.797333
1957-07-31,490.673553
1957-08-31,442.245636
1957-09-30,209.718399
1957-10-31,256.993164
1957-11-30,153.279465
1957-12-31,168.572357
1958-01-31,244.142075
1958-02-28,169.386612
1958-03-31,312.831818
1958-04-30,260.545166
1958-05-31,249.691116
1958-06-30,250.920471
1958-07-31,364.629913
1958-08-31,354.983093
1958-09-30,209.718399
1958-10-31,256.993164
1958-11-30,146.007462
1958-12-31,143.607773
1959-01-31,187.243073
1959-02-28,118.029709
1959-03-31,275.759186
1959-04-30,164.114761
1959-05-31,273.233521
1959-06-30,348.797333
1959-07-31,490.673553
1959-08-31,442.245636
1959-09-30,207.309799
1959-10-31,252.874878
1959-11-30,148.656464
1959-12-31,143.620773
1960-01-31,186.059082
1960-02-29,141.215408
1960-03-31,272.775299
1960-04-30,164.114761
1960-05-31,273.233521
1960-06-30,348.797333
