date,kaf
1921-10-31,135.812073
1921-11-30,90.996223
1921-12-31,197.326172
1922-01-31,200.320953
1922-02-28,108.863892
1922-03-31,229.055527
1922-04-30,236.935715
1922-05-31,272.132965
1922-06-30,347.185791
1922-07-31,392.627472
1922-08-31,344.511139
1922-09-30,177.117935
1922-10-31,252.426315
1922-11-30,176.203629
1922-12-31,172.600891
1923-01-31,196.032349
1923-02-28,161.680435
1923-03-31,293.45401
1923-04-30,259.837891
1923-05-31,272.132965
1923-06-30,347.185791
1923-07-31,424.285919
1923-08-31,440.711151
1923-09-30,206.616119
1923-10-31,252.103729
1923-11-30,174.438217
1923-12-31,165.59903
1924-01-31,196.032349
1924-02-29,161.680435
1924-03-31,209.084244
1924-04-30,163.365707
1924-05-31,271.622223
1924-06-30,346.957275
1924-07-31,488.827484
1924-08-31,440.711151
1924-09-30,205.970963
1924-10-31,252.426315
1924-11-30,176.203629
1924-12-31,173.258896
1925-01-31,196.032349
1925-02-28,161.680435
1925-03-31,281.378143
1925-04-30,259.837891
1925-05-31,272.132965
1925-06-30,347.185791
1925-07-31,488.827484
1925-08-31,440.711151
1925-09-30,206.616119
1925-10-31,252.426315
1925-11-30,175.236084
1925-12-31,172.833893
1926-01-31,196.032349
1926-02-28,161.680435
1926-03-31,276.509399
1926-04-30,256.043427
1926-05-31,272.132965
1926-06-30,347.185791
1926-07-31,488.827484
1926-08-31,440.711151
1926-09-30,206.616119
1926-10-31,256.544586
1926-11-30,176.203629
1926-12-31,176.061035
1927-01-31,196.032349
1927-02-28,161.680435
1927-03-31,298.781769
1927-04-30,259.837891
1927-05-31,272.132965
1927-06-30,347.185791
1927-07-31,441.041931
1927-08-31,440.711151
1927-09-30,206.616119
1927-10-31,256.544586
1927-11-30,176.203629
1927-12-31,175.44989
1928-01-31,196.032349
1928-02-29,161.680435
1928-03-31,312.273499
1928-04-30,259.837891
1928-05-31,272.132965
1928-06-30,347.185791
1928-07-31,488.827484
1928-08-31,440.711151
1928-09-30,206.616119
1928-10-31,252.277206
1928-11-30,175.784271
1928-12-31,173.036896
1929-01-31,196.032349
1929-02-28,161.680435
1929-03-31,209.084244
1929-04-30,163.365707
1929-05-31,272.132965
1929-06-30,347.185791
1929-07-31,488.827484
1929-08-31,440.711151
1929-09-30,206.616119
1929-10-31,252.426315
1929-11-30,175.103088
1929-12-31,172.135895
1930-01-31,196.032349
1930-02-28,161.680435
1930-03-31,274.247009
1930-04-30,163.365707
1930-05-31,272.132965
1930-06-30,347.185791
1930-07-31,402.565948
1930-08-31,440.711151
1930-09-30,206.616119
1930-10-31,252.103729
1930-11-30,175.091858
1930-12-31,172.021164
1931-01-31,195.247406
1931-02-28,134.750687
1931-03-31,209.084244
1931-04-30,163.365707
