date,kaf
1921-10-31,136.261
1921-11-30,91.322
1921-12-31,197.64
1922-01-31,200.701
1922-02-28,109.401
1922-03-31,229.614
1922-04-30,237.685
1922-05-31,273.234
1922-06-30,348.797
1922-07-31,394.474
1922-08-31,346.046
1922-09-30,177.812
1922-10-31,252.875
1922-11-30,176.53
1922-12-31,172.915
1923-01-31,196.413
1923-02-28,162.218
1923-03-31,294.012
1923-04-30,260.587
1923-05-31,273.234
1923-06-30,348.797
1923-07-31,426.132
1923-08-31,442.246
1923-09-30,207.31
1923-10-31,252.552
1923-11-30,174.764
1923-12-31,165.913
1924-01-31,196.413
1924-02-29,162.218
1924-03-31,209.643
1924-04-30,164.115
1924-05-31,272.723
1924-06-30,348.569
1924-07-31,490.674
1924-08-31,442.246
1924-09-30,206.665
1924-10-31,252.875
1924-11-30,176.53
1924-12-31,173.573
1925-01-31,196.413
1925-02-28,162.218
1925-03-31,281.936
1925-04-30,260.587
1925-05-31,273.234
1925-06-30,348.797
1925-07-31,490.674
1925-08-31,442.246
1925-09-30,207.31
1925-10-31,252.875
1925-11-30,175.562
1925-12-31,173.148
1926-01-31,196.413
1926-02-28,162.218
1926-03-31,277.068
1926-04-30,256.792
1926-05-31,273.234
1926-06-30,348.797
1926-07-31,490.674
1926-08-31,442.246
1926-09-30,207.31
1926-10-31,256.993
1926-11-30,176.53
1926-12-31,176.375
1927-01-31,196.413
1927-02-28,162.218
1927-03-31,299.34
1927-04-30,260.587
1927-05-31,273.234
1927-06-30,348.797
1927-07-31,442.888
1927-08-31,442.246
1927-09-30,207.31
1927-10-31,256.993
1927-11-30,176.53
1927-12-31,175.764
1928-01-31,196.413
1928-02-29,162.218
1928-03-31,312.832
1928-04-30,260.587
1928-05-31,273.234
1928-06-30,348.797
1928-07-31,490.674
1928-08-31,442.246
1928-09-30,207.31
1928-10-31,252.726
1928-11-30,176.111
1928-12-31,173.351
1929-01-31,196.413
1929-02-28,162.218
1929-03-31,209.643
1929-04-30,164.115
1929-05-31,273.234
1929-06-30,348.797
1929-07-31,490.674
1929-08-31,442.246
1929-09-30,207.31
1929-10-31,252.875
1929-11-30,175.429
1929-12-31,172.45
1930-01-31,196.413
1930-02-28,162.218
1930-03-31,274.805
1930-04-30,164.115
1930-05-31,273.234
1930-06-30,348.797
1930-07-31,404.412
1930-08-31,442.246
1930-09-30,207.31
1930-10-31,252.552
1930-11-30,175.418
1930-12-31,172.335
1931-01-31,195.628
1931-02-28,135.288
1931-03-31,209.643
1931-04-30,164.115
1931-05-31,272.723
1931-06-30,348.569
1931-07-31,446.562
1931-08-31,442.246
1931-09-30,190.307
1931-10-31,230.866
1931-11-30,173.119
1931-12-31,170.172
1932-01-31,196.413
1932-02-29,135.367
1932-03-31,209.643
1932-04-30,164.115
1932-05-31,272.723
1932-06-30,348.569
1932-07-31,490.674
1932-08-31,442.246
1932-09-30,206.289
1932-10-31,252.552
1932-11-30,173.593
1932-12-31,165.018
1933-01-31,140.995
1933-02-28,162.218
1933-03-31,209.643
1933-04-30,164.115
1933-05-31,272.723
1933-06-30,348.569
1933-07-31,461.71
1933-08-31,442.246
1933-09-30,206.665
1933-10-31,252.552
1933-11-30,173.372
1933-12-31,172.197
1934-01-31,196.413
1934-02-28,162.218
1934-03-31,209.643
1934-04-30,164.115
1934-05-31,272.723
1934-06-30,348.569
1934-07-31,490.674
1934-08-31,442.246
1934-09-30,206.665
1934-10-31,252.875
1934-11-30,176.281
1934-12-31,191.047
1935-01-31,249.413
1935-02-28,191.305
1935-03-31,312.832
1935-04-30,262.408
1935-05-31,273.234
1935-06-30,348.797
1935-07-31,394.474
1935-08-31,442.246
1935-09-30,207.31
1935-10-31,256.993
1935-11-30,176.53
1935-12-31,174.716
1936-01-31,196.413
1936-02-29,150.813
1936-03-31,312.1
1936-04-30,260.545
1936-05-31,273.234
1936-06-30,348.797
1936-07-31,490.674
1936-08-31,442.246
1936-09-30,207.31
1936-10-31,252.875
1936-11-30,176.53
1936-12-31,154.213
1937-01-31,196.413
1937-02-28,162.218
1937-03-31,312.1
1937-04-30,260.545
1937-05-31,243.234
1937-06-30,250.92
1937-07-31,326.044
1937-08-31,388.097
1937-09-30,209.718
1937-10-31,256.993
1937-11-30,180.554
1937-12-31,176.375
1938-01-31,196.413
1938-02-28,138.125
1938-03-31,268.551
1938-04-30,260.545
1938-05-31,173.169
1938-06-30,236.008
1938-07-31,282.363
1938-08-31,346.378
1938-09-30,150.631
1938-10-31,247.136
1938-11-30,176.111
1938-12-31,167.048
1939-01-31,196.413
1939-02-28,161.108
1939-03-31,236.957
1939-04-30,164.115
1939-05-31,273.234
1939-06-30,348.797
1939-07-31,490.674
1939-08-31,442.246
1939-09-30,207.31
1939-10-31,256.993
1939-11-30,171.297
1939-12-31,165.282
1940-01-31,196.413
1940-02-29,133.795
1940-03-31,312.1
1940-04-30,260.545
1940-05-31,273.234
1940-06-30,348.797
1940-07-31,490.674
1940-08-31,442.246
1940-09-30,209.718
1940-10-31,255.993
1940-11-30,169.513
1940-12-31,195.98
1941-01-31,195.413
1941-02-28,109.075
1941-03-31,312.1
1941-04-30,260.545
1941-05-31,154.944
1941-06-30,181.795
1941-07-31,281.363
1941-08-31,275.963
1941-09-30,208.718
1941-10-31,256.993
1941-11-30,176.53
1941-12-31,161.302
1942-01-31,196.413
1942-02-28,162.218
1942-03-31,307.78
1942-04-30,260.545
1942-05-31,269.734
1942-06-30,292.461
1942-07-31,426.188
1942-08-31,438.746
1942-09-30,209.718
1942-10-31,256.993
1942-11-30,170.286
1942-12-31,171.709
1943-01-31,166.273
1943-02-28,128.25
1943-03-31,307.78
1943-04-30,264.866
1943-05-31,211.483
1943-06-30,300.772
1943-07-31,413.439
1943-08-31,442.246
1943-09-30,206.803
1943-10-31,252.875
1943-11-30,172.411
1943-12-31,170.132
1944-01-31,196.413
1944-02-29,150.893
1944-03-31,288.638
1944-04-30,164.115
1944-05-31,273.234
1944-06-30,348.797
1944-07-31,403.033
1944-08-31,442.246
1944-09-30,207.31
1944-10-31,256.993
1944-11-30,196.14
1944-12-31,218.245
1945-01-31,224.562
1945-02-28,100.693
1945-03-31,307.78
1945-04-30,167.999
1945-05-31,273.234
1945-06-30,301.922
1945-07-31,467.659
1945-08-31,442.246
1945-09-30,209.718
1945-10-31,256.993
1945-11-30,175.851
1945-12-31,169.908
1946-01-31,196.413
1946-02-28,159.835
1946-03-31,307.78
1946-04-30,251.469
1946-05-31,273.234
1946-06-30,348.797
1946-07-31,490.674
1946-08-31,442.246
1946-09-30,207.31
1946-10-31,252.875
1946-11-30,176.53
1946-12-31,169.721
1947-01-31,196.413
1947-02-28,162.218
1947-03-31,274.364
1947-04-30,164.115
1947-05-31,273.234
1947-06-30,348.797
1947-07-31,490.674
1947-08-31,442.246
1947-09-30,207.31
1947-10-31,252.875
1947-11-30,167.625
1947-12-31,167.078
1948-01-31,196.413
1948-02-29,162.218
1948-03-31,272.762
1948-04-30,260.545
1948-05-31,273.234
1948-06-30,348.797
1948-07-31,490.674
1948-08-31,442.246
1948-09-30,207.31
1948-10-31,252.875
1948-11-30,165.11
1948-12-31,164.918
1949-01-31,196.413
1949-02-28,161.34
1949-03-31,279.588
1949-04-30,187.551
1949-05-31,273.234
1949-06-30,348.797
1949-07-31,490.674
1949-08-31,442.246
1949-09-30,209.718
1949-10-31,252.875
1949-11-30,166.344
1949-12-31,168.419
1950-01-31,196.413
1950-02-28,162.218
1950-03-31,293.493
1950-04-30,262.408
1950-05-31,273.234
1950-06-30,348.797
1950-07-31,462.629
1950-08-31,442.246
1950-09-30,209.718
1950-10-31,256.993
1950-11-30,223.53
1950-12-31,223.375
1951-01-31,231.632
1951-02-28,207.343
1951-03-31,312.1
1951-04-30,260.545
1951-05-31,273.234
1951-06-30,348.797
1951-07-31,490.674
1951-08-31,442.246
1951-09-30,209.718
1951-10-31,255.993
1951-11-30,148.347
1951-12-31,217.087
1952-01-31,174.296
1952-02-29,185.274
1952-03-31,311.832
1952-04-30,249.27
1952-05-31,135.249
1952-06-30,181.795
1952-07-31,281.363
1952-08-31,275.963
1952-09-30,208.718
1952-10-31,256.993
1952-11-30,159.369
1952-12-31,139.224
1953-01-31,196.413
1953-02-28,141.733
1953-03-31,284.732
1953-04-30,260.587
1953-05-31,273.234
1953-06-30,348.797
1953-07-31,443.866
1953-08-31,442.246
1953-09-30,209.718
1953-10-31,256.993
1953-11-30,152.503
1953-12-31,149.935
1954-01-31,183.848
1954-02-28,152.284
1954-03-31,301.289
1954-04-30,260.545
1954-05-31,273.234
1954-06-30,348.797
1954-07-31,490.674
1954-08-31,442.246
1954-09-30,207.31
1954-10-31,252.875
1954-11-30,156.684
1954-12-31,150.684
1955-01-31,180.123
1955-02-28,145.422
1955-03-31,209.643
1955-04-30,164.115
1955-05-31,273.234
1955-06-30,348.797
1955-07-31,490.674
1955-08-31,442.246
1955-09-30,209.718
1955-10-31,256.993
1955-11-30,178.732
1955-12-31,159.591
1956-01-31,196.413
1956-02-29,156.35
1956-03-31,307.78
1956-04-30,260.545
1956-05-31,269.734
1956-06-30,312.573
1956-07-31,487.174
1956-08-31,438.746
1956-09-30,207.31
1956-10-31,256.993
1956-11-30,152.794
1956-12-31,146.482
1957-01-31,187.782
1957-02-28,147.157
1957-03-31,277.276
1957-04-30,260.545
1957-05-31,273.234
1957-06-30,348.797
1957-07-31,490.674
1957-08-31,442.246
1957-09-30,209.718
1957-10-31,256.993
1957-11-30,153.279
1957-12-31,168.572
1958-01-31,244.142
1958-02-28,169.387
1958-03-31,312.832
1958-04-30,260.545
1958-05-31,249.691
1958-06-30,250.92
1958-07-31,364.63
1958-08-31,354.983
1958-09-30,209.718
1958-10-31,256.993
1958-11-30,146.007
1958-12-31,143.608
1959-01-31,187.243
1959-02-28,118.03
1959-03-31,275.759
1959-04-30,164.115
1959-05-31,273.234
1959-06-30,348.797
1959-07-31,490.674
1959-08-31,442.246
1959-09-30,207.31
1959-10-31,252.875
1959-11-30,148.656
1959-12-31,143.621
1960-01-31,186.059
1960-02-29,141.215
1960-03-31,272.775
1960-04-30,164.115
1960-05-31,273.234
1960-06-30,348.797
1960-07-31,490.674
1960-08-31,442.246
1960-09-30,209.718
1960-10-31,252.875
1960-11-30,148.08
1960-12-31,146.245
1961-01-31,185.878
1961-02-28,141.996
1961-03-31,271.565
1961-04-30,164.115
1961-05-31,273.234
1961-06-30,348.797
1961-07-31,490.674
1961-08-31,442.246
1961-09-30,207.31
1961-10-31,252.875
1961-11-30,150.229
1961-12-31,167.886
1962-01-31,190.209
1962-02-28,119.427
1962-03-31,293.451
1962-04-30,256.792
1962-05-31,273.234
1962-06-30,348.797
1962-07-31,451.919
1962-08-31,442.246
1962-09-30,209.718
1962-10-31,256.993
1962-11-30,194.551
1962-12-31,200.911
1963-01-31,225.116
1963-02-28,191.471
1963-03-31,282.3
1963-04-30,260.545
1963-05-31,273.234
1963-06-30,348.797
1963-07-31,421.04
1963-08-31,442.246
1963-09-30,207.31
1963-10-31,252.875
1963-11-30,141.024
1963-12-31,150.404
1964-01-31,186.358
1964-02-29,151.152
1964-03-31,209.643
1964-04-30,164.115
1964-05-31,273.234
1964-06-30,348.797
1964-07-31,490.674
1964-08-31,442.246
1964-09-30,209.718
1964-10-31,256.993
1964-11-30,196.635
1964-12-31,212.686
1965-01-31,196.413
1965-02-28,162.218
1965-03-31,308.242
1965-04-30,260.545
1965-05-31,273.234
1965-06-30,348.797
1965-07-31,394.474
1965-08-31,442.246
1965-09-30,207.31
1965-10-31,256.993
1965-11-30,153.696
1965-12-31,142.475
1966-01-31,184.99
1966-02-28,139.378
1966-03-31,284.028
1966-04-30,201.517
1966-05-31,273.234
1966-06-30,348.797
1966-07-31,490.674
1966-08-31,442.246
1966-09-30,209.718
1966-10-31,256.993
1966-11-30,191.035
1966-12-31,114.019
1967-01-31,208.321
1967-02-28,165.186
1967-03-31,270.832
1967-04-30,260.545
1967-05-31,155.944
1967-06-30,182.795
1967-07-31,282.363
1967-08-31,276.963
1967-09-30,209.718
1967-10-31,256.993
1967-11-30,134.123
1967-12-31,161.138
1968-01-31,185.329
1968-02-29,146.29
1968-03-31,277.239
1968-04-30,164.115
1968-05-31,273.234
1968-06-30,348.797
1968-07-31,490.674
1968-08-31,442.246
1968-09-30,209.718
1968-10-31,255.993
1968-11-30,191.447
1968-12-31,179.175
1969-01-31,143.056
1969-02-28,77.427
1969-03-31,177.14
1969-04-30,154.844
1969-05-31,135.249
1969-06-30,166.795
1969-07-31,264.523
1969-08-31,275.963
1969-09-30,169.248
1969-10-31,212.138
1969-11-30,183.633
1969-12-31,145.707
1970-01-31,166.239
1970-02-28,134.201
1970-03-31,307.78
1970-04-30,194.524
1970-05-31,273.234
1970-06-30,348.797
1970-07-31,490.674
1970-08-31,442.246
1970-09-30,209.718
1970-10-31,256.993
1970-11-30,148.113
1970-12-31,176.993
1971-01-31,190.082
1971-02-28,150.404
1971-03-31,291.944
1971-04-30,260.545
1971-05-31,273.234
1971-06-30,348.797
1971-07-31,490.674
1971-08-31,442.246
1971-09-30,207.31
1971-10-31,252.875
1971-11-30,150.942
1971-12-31,171.108
1972-01-31,191.403
1972-02-29,149.504
1972-03-31,272.911
1972-04-30,164.115
1972-05-31,273.234
1972-06-30,348.797
1972-07-31,490.674
1972-08-31,442.246
1972-09-30,209.718
1972-10-31,256.993
1972-11-30,202.456
1972-12-31,201.14
1973-01-31,208.217
1973-02-28,169.998
1973-03-31,312.832
1973-04-30,260.545
1973-05-31,273.234
1973-06-30,265.008
1973-07-31,475.783
1973-08-31,442.246
1973-09-30,209.718
1973-10-31,256.993
1973-11-30,154.199
1973-12-31,145.972
1974-01-31,151.865
1974-02-28,150.037
