date,kaf
1921-09-30,178840
1921-10-31,178908.46875
1921-11-30,178956.75
1921-12-31,178996.359375
1922-01-31,179029.46875
1922-02-28,179059.296875
1922-03-31,179088.25
1922-04-30,179115.3125
1922-05-31,179169.21875
1922-06-30,179154.328125
1922-07-31,179087.265625
1922-08-31,179101
1922-09-30,179121.046875
1922-10-31,179145.765625
1922-11-30,179164
1922-12-31,179182.0625
1923-01-31,179198.484375
1923-02-28,179214.125
1923-03-31,179241.25
1923-04-30,179259.515625
1923-05-31,179291.625
1923-06-30,179240.625
1923-07-31,179136
1923-08-31,179051.1875
1923-09-30,179063.703125
1923-10-31,179080.546875
1923-11-30,179091.03125
1923-12-31,179100.4375
1924-01-31,179112.5
1924-02-29,179121.234375
1924-03-31,179136.84375
1924-04-30,179113.5625
1924-05-31,179004.078125
1924-06-30,178819.140625
1924-07-31,178636.015625
1924-08-31,178531.140625
1924-09-30,178535.8125
1924-10-31,178547.296875
1924-11-30,178552.984375
1924-12-31,178558.53125
1925-01-31,178563.9375
1925-02-28,178569.875
1925-03-31,178586.453125
1925-04-30,178595.65625
1925-05-31,178613.34375
1925-06-30,178561.484375
1925-07-31,178396.015625
1925-08-31,178311.015625
1925-09-30,178315.203125
1925-10-31,178326.390625
1925-11-30,178330.6875
1925-12-31,178334.359375
1926-01-31,178338.546875
1926-02-28,178342.75
1926-03-31,178356.34375
1926-04-30,178365.21875
1926-05-31,178383.375
1926-06-30,178329.515625
1926-07-31,178164.265625
1926-08-31,178082.34375
1926-09-30,178084.375
1926-10-31,178093.359375
1926-11-30,178099.515625
1926-12-31,178103.0625
1927-01-31,178106.234375
1927-02-28,178111.546875
1927-03-31,178119.75
1927-04-30,178127.015625
1927-05-31,178147.21875
1927-06-30,178093.875
1927-07-31,177978.03125
1927-08-31,177898.75
1927-09-30,177901.484375
1927-10-31,177908.5625
1927-11-30,177913.453125
1927-12-31,177916.609375
1928-01-31,177919.453125
1928-02-29,177922.09375
1928-03-31,177934.546875
1928-04-30,177941.90625
1928-05-31,177958.984375
1928-06-30,177908.328125
1928-07-31,177749.90625
