date,kaf
1921-10-31,37.088
1921-11-30,11.382
1921-12-31,21.165
1922-01-31,25.034
1922-02-28,25.587
1922-03-31,85.923
1922-04-30,39.773
1922-05-31,134.235
1922-06-30,131.146
1922-07-31,103.954
1922-08-31,150.079
1922-09-30,11.826
1922-10-31,37.088
1922-11-30,11.382
1922-12-31,21.165
1923-01-31,25.034
1923-02-28,25.587
1923-03-31,81.905
1923-04-30,39.773
1923-05-31,134.235
1923-06-30,131.146
1923-07-31,74.511
1923-08-31,60.613
1923-09-30,11.826
1923-10-31,37.088
1923-11-30,11.382
1923-12-31,21.165
1924-01-31,25.034
1924-02-29,25.587
1924-03-31,81.905
1924-04-30,0
1924-05-31,0
1924-06-30,1.072
1924-07-31,3.707
1924-08-31,44.128
1924-09-30,11.826
1924-10-31,37.088
1924-11-30,11.382
1924-12-31,21.165
1925-01-31,25.034
1925-02-28,25.587
1925-03-31,81.905
1925-04-30,39.773
1925-05-31,134.235
1925-06-30,131.146
1925-07-31,14.488
1925-08-31,60.613
1925-09-30,11.826
1925-10-31,37.088
1925-11-30,11.382
1925-12-31,21.165
1926-01-31,25.034
1926-02-28,25.587
1926-03-31,81.905
1926-04-30,39.773
1926-05-31,134.235
1926-06-30,131.146
1926-07-31,14.488
1926-08-31,60.613
1926-09-30,11.826
1926-10-31,37.088
1926-11-30,11.382
1926-12-31,21.165
1927-01-31,25.034
1927-02-28,25.587
1927-03-31,81.905
1927-04-30,39.773
1927-05-31,134.235
1927-06-30,131.146
1927-07-31,58.928
1927-08-31,60.613
1927-09-30,11.826
1927-10-31,37.088
1927-11-30,11.382
1927-12-31,21.165
1928-01-31,25.034
1928-02-29,25.587
1928-03-31,81.905
1928-04-30,39.773
1928-05-31,134.235
1928-06-30,131.146
1928-07-31,14.488
1928-08-31,60.613
1928-09-30,11.826
1928-10-31,0
1928-11-30,11.382
1928-12-31,21.165
1929-01-31,25.034
1929-02-28,25.587
1929-03-31,81.905
1929-04-30,0
1929-05-31,0
1929-06-30,1.072
1929-07-31,3.707
1929-08-31,44.713
1929-09-30,11.826
1929-10-31,37.088
1929-11-30,11.382
1929-12-31,21.165
1930-01-31,25.034
1930-02-28,25.587
1930-03-31,85.923
1930-04-30,35.755
1930-05-31,0
1930-06-30,1.072
1930-07-31,3.707
1930-08-31,0
1930-09-30,0
1930-10-31,37.088
1930-11-30,11.382
1930-12-31,21.165
1931-01-31,25.034
1931-02-28,25.587
1931-03-31,38.674
1931-04-30,0
1931-05-31,0
1931-06-30,1.072
1931-07-31,3.707
1931-08-31,0
1931-09-30,0
1931-10-31,37.088
1931-11-30,11.382
1931-12-31,21.165
1932-01-31,25.034
1932-02-29,25.587
1932-03-31,81.905
1932-04-30,35.755
1932-05-31,134.235
1932-06-30,131.359
1932-07-31,14.488
1932-08-31,60.613
1932-09-30,11.826
1932-10-31,37.088
1932-11-30,11.382
1932-12-31,21.165
1933-01-31,25.034
1933-02-28,25.587
1933-03-31,81.905
1933-04-30,35.755
1933-05-31,0
1933-06-30,1.072
1933-07-31,3.707
1933-08-31,45.154
1933-09-30,11.826
1933-10-31,37.088
1933-11-30,11.382
1933-12-31,21.165
1934-01-31,25.034
1934-02-28,25.587
1934-03-31,81.905
1934-04-30,35.755
1934-05-31,134.235
1934-06-30,131.359
1934-07-31,3.707
1934-08-31,44.128
1934-09-30,11.826
1934-10-31,37.088
1934-11-30,11.382
1934-12-31,21.165
1935-01-31,25.034
1935-02-28,25.587
1935-03-31,81.905
1935-04-30,35.755
1935-05-31,134.235
1935-06-30,131.146
1935-07-31,103.954
1935-08-31,60.613
1935-09-30,11.826
1935-10-31,37.088
1935-11-30,11.382
1935-12-31,21.165
1936-01-31,25.034
1936-02-29,25.587
1936-03-31,81.905
1936-04-30,39.773
1936-05-31,134.235
1936-06-30,131.146
1936-07-31,14.488
1936-08-31,60.613
1936-09-30,11.826
1936-10-31,37.088
1936-11-30,11.382
1936-12-31,21.165
1937-01-31,25.034
1937-02-28,28.093
1937-03-31,81.905
1937-04-30,39.773
1937-05-31,134.235
1937-06-30,222.172
1937-07-31,167.593
1937-08-31,110.971
1937-09-30,11.826
1937-10-31,37.088
1937-11-30,11.382
1937-12-31,21.165
1938-01-31,25.034
1938-02-28,25.587
1938-03-31,85.923
1938-04-30,39.773
1938-05-31,134.235
1938-06-30,222.172
1938-07-31,208.217
1938-08-31,149.769
1938-09-30,11.826
1938-10-31,37.088
1938-11-30,11.382
1938-12-31,21.165
1939-01-31,25.034
1939-02-28,25.587
1939-03-31,81.905
1939-04-30,35.755
1939-05-31,134.235
1939-06-30,131.146
1939-07-31,14.488
1939-08-31,60.613
1939-09-30,11.826
1939-10-31,37.088
1939-11-30,11.382
1939-12-31,21.165
1940-01-31,25.034
1940-02-29,25.587
1940-03-31,81.905
1940-04-30,39.773
1940-05-31,134.235
1940-06-30,131.146
1940-07-31,14.488
1940-08-31,60.613
1940-09-30,11.826
1940-10-31,37.088
1940-11-30,11.382
1940-12-31,21.165
1941-01-31,25.034
