date,kaf
1921-10-31,88.322
1921-11-30,45.506
1921-12-31,33.499
1922-01-31,34.761
1922-02-28,33.87
1922-03-31,112.895
1922-04-30,232.945
1922-05-31,400.081
1922-06-30,527.175
1922-07-31,310.868
1922-08-31,111.995
1922-09-30,106.414
1922-10-31,84.713
1922-11-30,45.811
1922-12-31,40.098
1923-01-31,52.067
1923-02-28,55.53
1923-03-31,113.849
1923-04-30,146.597
1923-05-31,340.794
1923-06-30,220.876
1923-07-31,208.269
1923-08-31,103.82
1923-09-30,75.934
1923-10-31,88.165
1923-11-30,46.046
1923-12-31,44.018
1924-01-31,30.403
1924-02-29,53.838
1924-03-31,50.724
1924-04-30,119.169
1924-05-31,146.454
1924-06-30,150.694
1924-07-31,133.015
1924-08-31,99.444
1924-09-30,66.819
1924-10-31,53.164
1924-11-30,47.094
1924-12-31,40.385
1925-01-31,44.028
1925-02-28,49.008
1925-03-31,75.495
1925-04-30,98.168
1925-05-31,145.983
1925-06-30,156.937
1925-07-31,141.663
1925-08-31,105.559
1925-09-30,71.098
1925-10-31,54.619
1925-11-30,46.436
1925-12-31,43.269
1926-01-31,40.162
1926-02-28,49.822
1926-03-31,127.743
1926-04-30,81.559
1926-05-31,160.173
1926-06-30,158.694
1926-07-31,145.081
1926-08-31,102.07
1926-09-30,69.202
1926-10-31,53.623
1926-11-30,45.486
1926-12-31,48.54
1927-01-31,33.499
1927-02-28,33.499
1927-03-31,77.604
1927-04-30,123.044
1927-05-31,343.313
1927-06-30,352.342
1927-07-31,289.069
1927-08-31,106.429
1927-09-30,73.623
1927-10-31,77.509
1927-11-30,56.056
1927-12-31,41.176
1928-01-31,35.139
1928-02-29,45.635
1928-03-31,85.798
1928-04-30,111.156
1928-05-31,150.601
1928-06-30,141.165
1928-07-31,120.745
1928-08-31,74.449
1928-09-30,50.945
1928-10-31,29.291
1928-11-30,26.614
1928-12-31,23.042
1929-01-31,22.08
1929-02-28,43.058
1929-03-31,71.32
1929-04-30,89.934
1929-05-31,136.46
1929-06-30,140.046
1929-07-31,117.299
1929-08-31,85.054
1929-09-30,53.98
1929-10-31,39.812
1929-11-30,27.595
1929-12-31,26.858
1930-01-31,24.418
1930-02-28,22.736
1930-03-31,73.979
1930-04-30,102.608
1930-05-31,130.103
1930-06-30,140.202
1930-07-31,118.633
1930-08-31,82.902
1930-09-30,52.469
1930-10-31,40.587
1930-11-30,28.924
1930-12-31,20.243
1931-01-31,19.499
1931-02-28,44.446
1931-03-31,112.029
1931-04-30,109.587
1931-05-31,140.079
1931-06-30,185.789
1931-07-31,132.921
1931-08-31,99.155
1931-09-30,66.788
1931-10-31,53.321
1931-11-30,40.187
1931-12-31,42.198
1932-01-31,33.499
1932-02-29,33.499
1932-03-31,87.302
1932-04-30,105.693
1932-05-31,167.214
1932-06-30,395.449
1932-07-31,307.631
1932-08-31,98.582
1932-09-30,69.985
1932-10-31,89.102
1932-11-30,44.276
1932-12-31,41.407
1933-01-31,34.761
1933-02-28,142.072
1933-03-31,80
1933-04-30,109.546
1933-05-31,155.757
1933-06-30,217.53
1933-07-31,141.145
1933-08-31,99.161
1933-09-30,68.021
1933-10-31,54.655
1933-11-30,44.932
1933-12-31,46.27
1934-01-31,52.512
1934-02-28,38.418
1934-03-31,135.282
1934-04-30,121.671
1934-05-31,152.922
1934-06-30,161.97
1934-07-31,145.143
1934-08-31,100.593
1934-09-30,67.348
1934-10-31,52.126
1934-11-30,36.485
1934-12-31,33.499
1935-01-31,51.178
1935-02-28,33.499
1935-03-31,63.988
1935-04-30,82.668
1935-05-31,186.045
1935-06-30,330.287
1935-07-31,309.281
1935-08-31,143.409
1935-09-30,134.824
1935-10-31,74.267
1935-11-30,46.528
1935-12-31,42.729
1936-01-31,51.161
1936-02-29,167.364
1936-03-31,93.409
1936-04-30,223.711
1936-05-31,366.965
1936-06-30,321.736
1936-07-31,409.357
1936-08-31,252.669
1936-09-30,140.086
1936-10-31,79.893
1936-11-30,47.541
1936-12-31,33.499
1937-01-31,86.188
1937-02-28,66.548
1937-03-31,80.888
1937-04-30,248.551
1937-05-31,443.99
1937-06-30,444.876
1937-07-31,545.038
1937-08-31,249.822
1937-09-30,137.605
1937-10-31,75.954
1937-11-30,45.887
1937-12-31,126.156
1938-01-31,86.543
1938-02-28,75.79
1938-03-31,90.811
1938-04-30,277.827
1938-05-31,555.371
1938-06-30,753.009
1938-07-31,399.946
1938-08-31,246.805
1938-09-30,139.124
1938-10-31,88.84
1938-11-30,47.019
1938-12-31,35.164
1939-01-31,35.211
1939-02-28,42.82
1939-03-31,63.988
1939-04-30,115.778
1939-05-31,199.148
1939-06-30,152.103
1939-07-31,292.561
1939-08-31,105.636
1939-09-30,71.169
1939-10-31,89.482
1939-11-30,46.55
1939-12-31,44.148
1940-01-31,100.83
1940-02-29,71.121
1940-03-31,94.472
1940-04-30,182.329
