date,kaf
1921-10-31,43.64
1921-11-30,11.26
1921-12-31,9.94
1922-01-31,9.17
1922-02-28,8.85
1922-03-31,10.56
1922-04-30,19.76261739
1922-05-31,0.57
1922-06-30,26.02631066
1922-07-31,0.57
1922-08-31,0.57
1922-09-30,3.00242712
1922-10-31,4.614776276
1922-11-30,7.601357112
1922-12-31,9.94
1923-01-31,9.17
1923-02-28,8.85
1923-03-31,7.36331778
1923-04-30,17.21396315
1923-05-31,43.20339618
1923-06-30,62.53065484
1923-07-31,33.34531555
1923-08-31,0.57
1923-09-30,0.57
1923-10-31,2.15070596
1923-11-30,4.432047901
1923-12-31,6.954827865
1924-01-31,9.17
1924-02-29,8.85
1924-03-31,7.34335758
1924-04-30,19.16100252
1924-05-31,39.2457514
1924-06-30,26.82992565
1924-07-31,2.532445234
1924-08-31,0.814956455
1924-09-30,0.57
1924-10-31,0.57
1924-11-30,2.329460595
1924-12-31,9.94
1925-01-31,9.17
1925-02-28,8.85
1925-03-31,10.56
1925-04-30,38.34003623
1925-05-31,116.23
1925-06-30,135.64
1925-07-31,0.57
1925-08-31,0.57
1925-09-30,0.57
1925-10-31,0.57
1925-11-30,3.003488
1925-12-31,6.726439384
1926-01-31,7.344744494
1926-02-28,8.85
1926-03-31,0.61078212
1926-04-30,47.27985574
1926-05-31,103.9161593
1926-06-30,105.0104423
1926-07-31,21.11903926
1926-08-31,0.57
1926-09-30,0.57
1926-10-31,0.57
1926-11-30,11.26
1926-12-31,9.94
1927-01-31,9.17
1927-02-28,8.85
1927-03-31,10.56
1927-04-30,56.42712819
1927-05-31,0.57
1927-06-30,23.72020983
1927-07-31,0.57
1927-08-31,0.57
1927-09-30,2.38562632
1927-10-31,0.57
1927-11-30,9.893138
1927-12-31,9.94
1928-01-31,9.17
1928-02-29,8.85
1928-03-31,10.56
1928-04-30,36.74226588
1928-05-31,73.77697858
1928-06-30,49.76395946
1928-07-31,1.770963521
1928-08-31,0.594956455
1928-09-30,0.57
1928-10-31,0.769536115
1928-11-30,2.114359811
1928-12-31,4.558938041
1929-01-31,5.972455337
1929-02-28,8.85
1929-03-31,10.56
1929-04-30,30.27264448
1929-05-31,86.87287132
1929-06-30,91.23353595
1929-07-31,11.6434574
1929-08-31,0.57
1929-09-30,0.57
1929-10-31,0.57
1929-11-30,0.57
1929-12-31,1.6567565
1930-01-31,3.991760433
1930-02-28,8.85
1930-03-31,10.56
1930-04-30,34.96785508
1930-05-31,76.43945739
1930-06-30,98.99778348
1930-07-31,54.35947139
1930-08-31,0.57
1930-09-30,0.749625356
1930-10-31,2.110467783
1930-11-30,2.664465081
1930-12-31,4.359193232
1931-01-31,6.312455337
1931-02-28,8.85
1931-03-31,1.42515828
1931-04-30,11.33744656
1931-05-31,31.84861987
1931-06-30,24.3580651
1931-07-31,1.455838983
1931-08-31,0.57
1931-09-30,0.57
1931-10-31,0.57
1931-11-30,1.046428
1931-12-31,9.94
1932-01-31,9.17
1932-02-29,8.85
1932-03-31,10.56
1932-04-30,40.43749379
1932-05-31,0.57
1932-06-30,8.845322154
1932-07-31,0.57
1932-08-31,0.57
1932-09-30,1.66934152
1932-10-31,0.57
1932-11-30,0.57
1932-12-31,3.1156615
1933-01-31,9.17
1933-02-28,8.85
1933-03-31,10.56
1933-04-30,39.86243768
1933-05-31,80.46422154
1933-06-30,131.2162639
1933-07-31,0.815838983
1933-08-31,0.57
1933-09-30,0.57
1933-10-31,0.57
1933-11-30,0.57
1933-12-31,6.762924
1934-01-31,8.279765243
1934-02-28,8.85
1934-03-31,0.61078212
1934-04-30,19.72664534
1934-05-31,31.64880258
1934-06-30,18.51981985
1934-07-31,1.171232924
1934-08-31,0.634956455
1934-09-30,0.57
1934-10-31,0.57
1934-11-30,2.983518
1934-12-31,7.945554361
1935-01-31,9.17
1935-02-28,8.85
1935-03-31,10.56
1935-04-30,51.34314219
1935-05-31,0.57
1935-06-30,16.6261222
1935-07-31,0.57
1935-08-31,0.57
1935-09-30,0.57
1935-10-31,0.57
1935-11-30,0.57
1935-12-31,3.6552565
1936-01-31,7.581751183
1936-02-29,8.85
1936-03-31,10.56
1936-04-30,67.02
1936-05-31,0.57
1936-06-30,8.886122197
1936-07-31,0.57
1936-08-31,0.57
1936-09-30,0.57
1936-10-31,0.57
1936-11-30,2.863698
1936-12-31,9.94
1937-01-31,9.17
1937-02-28,8.85
1937-03-31,10.56
1937-04-30,67.02
1937-05-31,13.0636728
1937-06-30,0.57
1937-07-31,0.57
1937-08-31,0.57
1937-09-30,3.15165312
1937-10-31,0.57
1937-11-30,3.303038
1937-12-31,9.94
1938-01-31,9.17
1938-02-28,8.85
1938-03-31,10.56
1938-04-30,67.02
1938-05-31,0.57
1938-06-30,0.57
1938-07-31,0.57
1938-08-31,0.57
1938-09-30,7.1528996
1938-10-31,17.02316616
1938-11-30,11.26
1938-12-31,9.94
1939-01-31,9.17
1939-02-28,8.85
1939-03-31,10.56
1939-04-30,67.02
1939-05-31,113.7677928
1939-06-30,120.4336893
1939-07-31,12.82827929
1939-08-31,0.57
1939-09-30,0.57
1939-10-31,0.57
1939-11-30,0.57
1939-12-31,2.785909
1940-01-31,9.17
1940-02-29,8.85
1940-03-31,10.56
1940-04-30,67.02
1940-05-31,0.57
1940-06-30,18.72388371
1940-07-31,0.835838983
1940-08-31,0.57
1940-09-30,0.57
1940-10-31,0.57
1940-11-30,2.334493
1940-12-31,9.94
1941-01-31,9.17
1941-02-28,8.85
1941-03-31,10.56
